case,delta_w_ic_rise_minus_fall_mean,delta_w_rc_rise_minus_fall_mean,edge_density_mean,manuscript_role,method,recordings,representation,retained_edges_mean,total_weight_mean,w_ic_mean,w_rc_mean
dff,,,0.34825027913263207,full-trace c-GC/c-GC* baseline,cgc,F3T1;F3T2;F5T2,full_trace,67.0,54.01230982180444,0.9762809721839766,0.5055260475422053
f_smooth,,,0.291512654012654,full-trace c-GC/c-GC* baseline,cgc,F3T1;F3T2;F5T2,full_trace,55.666666666666664,49.856792158266956,1.0,0.5186524546638713
dff,,,0.35984579146343854,full-trace c-GC/c-GC* baseline,cgc-star,F3T1;F3T2;F5T2,full_trace,69.66666666666667,55.357365359412036,0.9685814142274314,0.5089682917661369
f_smooth,,,0.26596491743550565,full-trace c-GC/c-GC* baseline,cgc-star,F3T1;F3T2;F5T2,full_trace,52.0,47.14737539480424,1.0,0.5050442277544843
published,,,,published comparator,chen_improved_gc,published aggregate,published,,,1.0,
A,0.7256887373983321,0.6900517490174027,0.03226773226773227,falling-flank negative comparator,rising_flank_cgc,F3T1;F3T2;F5T2,fall,5.0,0.6953199799488338,0.17422394117360562,0.0
A,0.7256887373983321,0.6900517490174027,0.1247569194937616,primary rising-flank candidate,rising_flank_cgc,F3T1;F3T2;F5T2,rise,27.666666666666668,6.925724015085033,0.9186181983868544,0.6313342141173229
B,0.4682475900236384,0.6317323336911422,0.033493222463810694,falling-flank negative comparator,rising_flank_cgc,F3T1;F3T2;F5T2,fall,5.333333333333333,0.743442480177222,0.4494826274490704,0.0
B,0.4682475900236384,0.6317323336911422,0.12994554465142702,primary rising-flank candidate,rising_flank_cgc,F3T1;F3T2;F5T2,rise,25.666666666666668,6.332604474005341,0.9177302174727088,0.6333576114862506
C,0.5197888828552913,0.33166451235043515,0.04146539734775029,falling-flank negative comparator,rising_flank_cgc,F3T1;F3T2;F5T2,fall,7.333333333333333,1.0069007854827172,0.34755803822423553,0.30677999036921344
C,0.5197888828552913,0.33166451235043515,0.1354400501459325,primary rising-flank candidate,rising_flank_cgc,F3T1;F3T2;F5T2,rise,26.666666666666668,6.793204892009239,0.8673469210795269,0.577363473213866
D,-0.16505207373842862,0.5348018800408662,0.04578779064073182,falling-flank negative comparator,rising_flank_cgc,F3T1;F3T2;F5T2,fall,8.666666666666666,1.2130713327964937,0.4233695547310883,0.0974663714991831
D,-0.16505207373842862,0.5348018800408662,0.07194227341286165,primary rising-flank candidate,rising_flank_cgc,F3T1;F3T2;F5T2,rise,13.333333333333334,8.860137655456741,0.25831748099265966,0.5995284294285246
