case,dataset,edge_density_mean,edge_density_std,manuscript_use,method,n_graphs,representation,retained_edges_cv,retained_edges_mean,total_weight_cv,total_weight_mean
medial,hindbrain,0.09210526315789473,,descriptive support; re-estimation stability still needed where readiness gates are missing,cgc,1,full_trace,,35.0,,23.52788337994229
medial,hindbrain,0.05,,descriptive support; re-estimation stability still needed where readiness gates are missing,cgc-star,1,full_trace,,19.0,,13.030125887299228
medial,hindbrain,0.060526315789473685,,descriptive support; re-estimation stability still needed where readiness gates are missing,rising_flank_cgc,1,fall,,23.0,,3.3737437302132705
medial,hindbrain,0.16578947368421051,,descriptive support; re-estimation stability still needed where readiness gates are missing,rising_flank_cgc,1,rise,,63.0,,9.708937886223744
dff,motoneurons,0.3513474270827212,0.049326388097629736,descriptive support; re-estimation stability still needed where readiness gates are missing,cgc,3,full_trace,0.56419015362443,68.33333333333333,0.5013470588032394,54.274276664641924
f_smooth,motoneurons,0.28907514054572875,0.02429963593278895,descriptive support; re-estimation stability still needed where readiness gates are missing,cgc,3,full_trace,0.506776548989111,55.333333333333336,0.5485413812313722,49.69956052621478
dff,motoneurons,0.3653804528804529,0.06450754563593274,descriptive support; re-estimation stability still needed where readiness gates are missing,cgc-star,3,full_trace,0.5938257745939481,71.33333333333333,0.5242728147970683,55.52909535449239
f_smooth,motoneurons,0.28060371001547474,0.037457704766755626,descriptive support; re-estimation stability still needed where readiness gates are missing,cgc-star,3,full_trace,0.5588506945068098,54.666666666666664,0.5850431144731817,49.2917732121571
A,motoneurons,0.03226773226773227,0.030427248303189575,descriptive support; re-estimation stability still needed where readiness gates are missing,rising_flank_cgc,3,fall,1.1135528725660042,5.0,1.1455680828615535,0.6953199799488338
A,motoneurons,0.1247569194937616,0.019026422795232267,descriptive support; re-estimation stability still needed where readiness gates are missing,rising_flank_cgc,3,rise,0.7104348427858104,27.666666666666668,0.682220743609829,6.925724015085033
B,motoneurons,0.033493222463810694,0.02849020093531524,descriptive support; re-estimation stability still needed where readiness gates are missing,rising_flank_cgc,3,fall,0.9621752698962908,5.333333333333333,0.989385805253378,0.743442480177222
B,motoneurons,0.12994554465142702,0.02786633044874121,descriptive support; re-estimation stability still needed where readiness gates are missing,rising_flank_cgc,3,rise,0.6334414752341402,25.666666666666668,0.5877546241480643,6.332604474005341
C,motoneurons,0.04146539734775029,0.03601794683633181,descriptive support; re-estimation stability still needed where readiness gates are missing,rising_flank_cgc,3,fall,0.9079538343380992,7.333333333333333,1.0165777899837347,1.0069007854827172
C,motoneurons,0.1354400501459325,0.023162837803119774,descriptive support; re-estimation stability still needed where readiness gates are missing,rising_flank_cgc,3,rise,0.5933222143152909,26.666666666666668,0.5525747096917538,6.793204892009239
D,motoneurons,0.04578779064073182,0.05570828692454613,descriptive support; re-estimation stability still needed where readiness gates are missing,rising_flank_cgc,3,fall,1.155767630870517,8.666666666666666,1.2078618253189144,1.2130713327964937
D,motoneurons,0.07194227341286165,0.005416138372653894,descriptive support; re-estimation stability still needed where readiness gates are missing,rising_flank_cgc,3,rise,0.37749172176353746,13.333333333333334,0.5480929949738749,8.860137655456741
