binary,case,dataset,description,edge_density,edge_opportunities,fish,fluo_type,max_in_strength,max_out_strength,mean_in_strength,mean_out_strength,method,method_internal,n_nodes,recording,representation,retained_edges,source_file,subset,total_weight,trace,trial
False,A,motoneurons,bad neurons and artefacts retained,0.10989010989010989,182,3,A,0.8136700007269104,1.4083834931172805,0.36843626865107215,0.3684362686510721,rising_flank_cgc,,14,F3T1,rise,20,rising_flanks_weighted_adjacency_matrices.pkl,,5.15810776111501,1,
False,A,motoneurons,bad neurons and artefacts retained,0.06043956043956044,182,3,A,0.36227593861424345,0.7104013035480529,0.11174209995047221,0.11174209995047223,rising_flank_cgc,,14,F3T1,fall,11,rising_flanks_weighted_adjacency_matrices.pkl,,1.5643893993066111,1,
False,A,motoneurons,bad neurons and artefacts retained,0.11818181818181818,110,3,A,0.6911975386467224,1.2816618427060895,0.3035920967797147,0.30359209677971477,rising_flank_cgc,,11,F3T2,rise,13,rising_flanks_weighted_adjacency_matrices.pkl,,3.339513064576862,2,
False,A,motoneurons,bad neurons and artefacts retained,0.03636363636363636,110,3,A,0.14167404997528135,0.4056735772660025,0.04741550368544458,0.04741550368544458,rising_flank_cgc,,11,F3T2,fall,4,rising_flanks_weighted_adjacency_matrices.pkl,,0.5215705405398904,2,
False,A,motoneurons,bad neurons and artefacts retained,0.14619883040935672,342,5,A,1.2776231092480084,2.10962152499029,0.6462921694506962,0.6462921694506962,rising_flank_cgc,,19,F5T2,rise,50,rising_flanks_weighted_adjacency_matrices.pkl,,12.279551219563228,2,
False,A,motoneurons,bad neurons and artefacts retained,0.0,342,5,A,0.0,0.0,0.0,0.0,rising_flank_cgc,,19,F5T2,fall,0,rising_flanks_weighted_adjacency_matrices.pkl,,0.0,2,
False,B,motoneurons,bad neurons removed; artefacts retained,0.10989010989010989,182,3,B,0.8136700007269104,1.4083834931172805,0.36843626865107215,0.3684362686510721,rising_flank_cgc,,14,F3T1,rise,20,rising_flanks_weighted_adjacency_matrices.pkl,,5.15810776111501,1,
False,B,motoneurons,bad neurons removed; artefacts retained,0.06043956043956044,182,3,B,0.36227593861424345,0.7104013035480529,0.11174209995047221,0.11174209995047223,rising_flank_cgc,,14,F3T1,fall,11,rising_flanks_weighted_adjacency_matrices.pkl,,1.5643893993066111,1,
False,B,motoneurons,bad neurons removed; artefacts retained,0.11818181818181818,110,3,B,0.6911975386467224,1.2816618427060895,0.3035920967797147,0.30359209677971477,rising_flank_cgc,,11,F3T2,rise,13,rising_flanks_weighted_adjacency_matrices.pkl,,3.339513064576862,2,
False,B,motoneurons,bad neurons removed; artefacts retained,0.03636363636363636,110,3,B,0.14167404997528135,0.4056735772660025,0.04741550368544458,0.04741550368544458,rising_flank_cgc,,11,F3T2,fall,4,rising_flanks_weighted_adjacency_matrices.pkl,,0.5215705405398904,2,
